source_image,patch_file,idx,cx,cy,score,win,patch_x0,patch_y0,patch_x1,patch_y1
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__000__cx280_cy1898__s0.6375__win28.jpg,0,280,1898,0.6374902675414348,28,148,1766,413,2031
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__001__cx547_cy2281__s0.6365__win28.jpg,1,547,2281,0.6365391362678428,28,415,2149,680,2414
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__002__cx345_cy2442__s0.6355__win28.jpg,2,345,2442,0.6355134476614347,28,213,2310,478,2575
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__003__cx426_cy2845__s0.6353__win28.jpg,3,426,2845,0.6352579044074993,28,294,2713,559,2978
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__004__cx43_cy2563__s0.6338__win28.jpg,4,43,2563,0.6337966091770729,28,-89,2431,176,2696
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__005__cx280_cy2684__s0.6307__win28.jpg,5,280,2684,0.6306529994285699,28,148,2552,413,2817
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__006__cx265_cy2422__s0.6279__win28.jpg,6,265,2422,0.6278995242132874,28,133,2290,398,2555
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__007__cx486_cy2543__s0.6268__win28.jpg,7,486,2543,0.6267533245469451,28,354,2411,619,2676
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__008__cx103_cy2119__s0.6266__win28.jpg,8,103,2119,0.6265505340170411,28,-29,1987,236,2252
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__009__cx345_cy2643__s0.6250__win28.jpg,9,345,2643,0.6250206320158463,28,213,2511,478,2776
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__010__cx265_cy2865__s0.6250__win28.jpg,10,265,2865,0.6249894559261381,28,133,2733,398,2998
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__011__cx325_cy2664__s0.6227__win28.jpg,11,325,2664,0.6226513591415993,28,193,2532,458,2797
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__012__cx406_cy2543__s0.6212__win28.jpg,12,406,2543,0.6212361288172993,28,274,2411,539,2676
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__013__cx260_cy2361__s0.6208__win28.jpg,13,260,2361,0.6207787666808765,28,128,2229,393,2494
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__014__cx63_cy2180__s0.6206__win28.jpg,14,63,2180,0.6206437094148163,28,-69,2048,196,2313
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__015__cx345_cy2785__s0.6191__win28.jpg,15,345,2785,0.6191334613847576,28,213,2653,478,2918
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__016__cx300_cy2724__s0.6190__win28.jpg,16,300,2724,0.618981468728049,28,168,2592,433,2857
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__017__cx83_cy789__s0.6179__win28.jpg,17,83,789,0.617861074632272,28,-49,657,216,922
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__018__cx58_cy1938__s0.6177__win28.jpg,18,58,1938,0.6176763663953845,28,-74,1806,191,2071
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__019__cx587_cy2240__s0.6176__win28.jpg,19,587,2240,0.6175705466259529,28,455,2108,720,2373
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__020__cx184_cy2039__s0.6171__win28.jpg,20,184,2039,0.6171452076812671,28,52,1907,317,2172
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__021__cx280_cy2643__s0.6160__win28.jpg,21,280,2643,0.6160346815231172,28,148,2511,413,2776
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__022__cx219_cy2220__s0.6150__win28.jpg,22,219,2220,0.6149873641710867,28,87,2088,352,2353
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__023__cx406_cy2482__s0.6148__win28.jpg,23,406,2482,0.6148126295436771,28,274,2350,539,2615
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__024__cx567_cy2260__s0.6137__win28.jpg,24,567,2260,0.6136982706082493,28,435,2128,700,2393
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__025__cx280_cy2281__s0.6129__win28.jpg,25,280,2281,0.6128615530256956,28,148,2149,413,2414
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__026__cx305_cy2684__s0.6124__win28.jpg,26,305,2684,0.6123979087455028,28,173,2552,438,2817
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__027__cx426_cy2200__s0.6123__win28.jpg,27,426,2200,0.6123431017614541,28,294,2068,559,2333
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__028__cx43_cy1978__s0.6119__win28.jpg,28,43,1978,0.6118655966834097,28,-89,1846,176,2111
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__029__cx23_cy2583__s0.6115__win28.jpg,29,23,2583,0.6115327454734473,28,-109,2451,156,2716
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__030__cx265_cy789__s0.6114__win28.jpg,30,265,789,0.6113976280919403,28,133,657,398,922
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__031__cx406_cy2603__s0.6110__win28.jpg,31,406,2603,0.6110236401167717,28,274,2471,539,2736
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__032__cx23_cy2321__s0.6108__win28.jpg,32,23,2321,0.6107528980157854,28,-109,2189,156,2454
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__033__cx239_cy2482__s0.6103__win28.jpg,33,239,2482,0.6103474326157874,28,107,2350,372,2615
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__034__cx325_cy1918__s0.6103__win28.jpg,34,325,1918,0.6102761758093977,28,193,1786,458,2051
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__035__cx244_cy2099__s0.6098__win28.jpg,35,244,2099,0.6097818550370383,28,112,1967,377,2232
data/raw/IMG_8449.jpeg,data/interim/roi_dump_c2f/patches/IMG_8449__036__cx118_cy2744__s0.6097__win28.jpg,36,118,2744,0.6096759891647634,28,-14,2612,251,2877
