epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.306380,0.867563,0.298571,0.861111,0.791557,0.980392,0.875912
2,0.00099961,0.209203,0.917685,0.362842,0.841503,0.900383,0.767974,0.828924
3,0.00099846,0.170208,0.931948,0.273319,0.893791,0.980080,0.803922,0.883303
4,0.00099653,0.163753,0.937245,0.121731,0.946078,0.969072,0.921569,0.944724
5,0.00099384,0.160325,0.942543,0.120330,0.965686,0.952381,0.980392,0.966184
6,0.00099039,0.134159,0.950896,0.102831,0.954248,0.929012,0.983660,0.955556
7,0.00098618,0.129679,0.947433,0.144946,0.950980,0.989362,0.911765,0.948980
8,0.00098123,0.120684,0.954360,0.302438,0.869281,0.987069,0.748366,0.851301
9,0.00097553,0.129234,0.951304,0.156643,0.937908,0.958904,0.915033,0.936455
10,0.00096910,0.104855,0.959861,0.065838,0.980392,0.977273,0.983660,0.980456
11,0.00096194,0.116028,0.959250,0.144715,0.950980,0.979167,0.921569,0.949495
12,0.00095407,0.094962,0.964751,0.123456,0.960784,0.979592,0.941176,0.960000
13,0.00094550,0.091528,0.967604,0.072092,0.967320,0.949686,0.986928,0.967949
14,0.00093625,0.112012,0.957620,0.122546,0.955882,0.951456,0.960784,0.956098
15,0.00092632,0.098804,0.963121,0.044915,0.985294,0.983713,0.986928,0.985318
16,0.00091573,0.084709,0.970660,0.077426,0.978758,0.977199,0.980392,0.978793
17,0.00090451,0.101508,0.964548,0.057292,0.986928,0.993377,0.980392,0.986842
18,0.00089266,0.104023,0.962306,0.093745,0.972222,0.967638,0.977124,0.972358
19,0.00088020,0.096551,0.967808,0.243286,0.910131,0.855524,0.986928,0.916540
20,0.00086716,0.078344,0.972698,0.053475,0.988562,0.993399,0.983660,0.988506
21,0.00085355,0.089393,0.965363,0.057955,0.973856,0.986577,0.960784,0.973510
22,0.00083940,0.092715,0.966585,0.078976,0.972222,0.973770,0.970588,0.972177
23,0.00082472,0.072965,0.975550,0.192934,0.934641,1.000000,0.869281,0.930070
24,0.00080955,0.080591,0.970660,0.044374,0.982026,0.986799,0.977124,0.981938
25,0.00079389,0.071229,0.975143,0.053812,0.983660,0.990066,0.977124,0.983553
26,0.00077779,0.071519,0.976365,0.095253,0.968954,0.979933,0.957516,0.968595
27,0.00076125,0.071011,0.975550,0.098804,0.960784,0.973154,0.947712,0.960265
28,0.00074431,0.083206,0.970456,0.049490,0.988562,0.993399,0.983660,0.988506
29,0.00072700,0.073225,0.976365,0.042406,0.988562,0.993399,0.983660,0.988506
30,0.00070933,0.068374,0.975754,0.034195,0.988562,0.996678,0.980392,0.988468
31,0.00069134,0.074671,0.975550,0.040898,0.986928,0.986928,0.986928,0.986928
32,0.00067306,0.073683,0.974124,0.044930,0.983660,0.990066,0.977124,0.983553
33,0.00065451,0.064044,0.978403,0.039270,0.983660,0.983660,0.983660,0.983660
34,0.00063572,0.064526,0.976976,0.049630,0.982026,0.977346,0.986928,0.982114
35,0.00061672,0.072684,0.977180,0.098617,0.952614,0.985965,0.918301,0.950931
36,0.00059755,0.064934,0.976365,0.045777,0.983660,0.990066,0.977124,0.983553
37,0.00057822,0.059756,0.980033,0.030151,0.988562,0.986971,0.990196,0.988581
38,0.00055877,0.074347,0.975550,0.088872,0.955882,0.972881,0.937908,0.955075
39,0.00053923,0.066109,0.974939,0.042436,0.985294,0.993355,0.977124,0.985173
40,0.00051963,0.075128,0.976161,0.026925,0.990196,0.996689,0.983660,0.990132
41,0.00050000,0.057637,0.980644,0.024461,0.990196,0.990196,0.990196,0.990196
42,0.00048037,0.057261,0.981866,0.050575,0.980392,0.974194,0.986928,0.980519
43,0.00046077,0.053326,0.983700,0.025702,0.988562,0.996678,0.980392,0.988468
44,0.00044123,0.054754,0.980644,0.027018,0.988562,0.993399,0.983660,0.988506
45,0.00042178,0.056731,0.980033,0.028020,0.990196,1.000000,0.980392,0.990099
46,0.00040245,0.056977,0.979625,0.040630,0.986928,0.980645,0.993464,0.987013
47,0.00038328,0.050365,0.982478,0.029284,0.988562,0.990164,0.986928,0.988543
48,0.00036428,0.049542,0.983293,0.040547,0.985294,1.000000,0.970588,0.985075
49,0.00034549,0.056071,0.981255,0.023956,0.990196,0.993421,0.986928,0.990164
50,0.00032694,0.048058,0.984311,0.063995,0.982026,0.983607,0.980392,0.981997
51,0.00030866,0.052266,0.980033,0.030576,0.995098,0.993485,0.996732,0.995106
52,0.00029067,0.047098,0.984515,0.019409,0.996732,1.000000,0.993464,0.996721
53,0.00027300,0.038755,0.987979,0.014585,0.995098,0.996721,0.993464,0.995090
54,0.00025569,0.042953,0.984515,0.021313,0.988562,0.993399,0.983660,0.988506
55,0.00023875,0.039943,0.986349,0.022678,0.990196,1.000000,0.980392,0.990099
56,0.00022221,0.049234,0.984719,0.019769,0.995098,0.996721,0.993464,0.995090
57,0.00020611,0.041572,0.986756,0.017032,0.993464,1.000000,0.986928,0.993421
58,0.00019045,0.040345,0.986960,0.015215,0.996732,1.000000,0.993464,0.996721
59,0.00017528,0.038107,0.988590,0.015356,0.996732,1.000000,0.993464,0.996721
60,0.00016060,0.037065,0.988794,0.011310,0.998366,1.000000,0.996732,0.998363
61,0.00014645,0.042396,0.986960,0.012200,1.000000,1.000000,1.000000,1.000000
62,0.00013284,0.036959,0.987571,0.015358,1.000000,1.000000,1.000000,1.000000
63,0.00011980,0.037422,0.985330,0.011933,1.000000,1.000000,1.000000,1.000000
64,0.00010734,0.034351,0.988183,0.011095,1.000000,1.000000,1.000000,1.000000
65,0.00009549,0.033232,0.988998,0.011439,1.000000,1.000000,1.000000,1.000000
66,0.00008427,0.032937,0.989405,0.011279,1.000000,1.000000,1.000000,1.000000
67,0.00007368,0.033553,0.989405,0.010441,1.000000,1.000000,1.000000,1.000000
68,0.00006375,0.034398,0.989405,0.008989,1.000000,1.000000,1.000000,1.000000
69,0.00005450,0.031559,0.989405,0.008262,1.000000,1.000000,1.000000,1.000000
70,0.00004593,0.030395,0.990220,0.007549,1.000000,1.000000,1.000000,1.000000
71,0.00003806,0.030334,0.988998,0.008473,1.000000,1.000000,1.000000,1.000000
72,0.00003090,0.028129,0.990831,0.009754,1.000000,1.000000,1.000000,1.000000
73,0.00002447,0.029662,0.991035,0.008342,1.000000,1.000000,1.000000,1.000000
74,0.00001877,0.029970,0.991850,0.008713,1.000000,1.000000,1.000000,1.000000
75,0.00001382,0.026805,0.991239,0.008730,1.000000,1.000000,1.000000,1.000000
76,0.00000961,0.026761,0.992461,0.008668,1.000000,1.000000,1.000000,1.000000
77,0.00000616,0.028852,0.992461,0.008552,1.000000,1.000000,1.000000,1.000000
78,0.00000347,0.029145,0.991239,0.008912,1.000000,1.000000,1.000000,1.000000
79,0.00000154,0.027057,0.991850,0.008640,1.000000,1.000000,1.000000,1.000000
80,0.00000039,0.031018,0.990016,0.008361,1.000000,1.000000,1.000000,1.000000
