epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00300000,0.373201,0.843384,0.184154,0.949597,0.908425,1.000000,0.952015
2,0.00299884,0.254662,0.903476,0.627547,0.679435,0.811189,0.467742,0.593350
3,0.00299538,0.219248,0.912060,2.686604,0.590726,0.857143,0.217742,0.347267
4,0.00298960,0.189146,0.922739,0.279427,0.808468,0.804781,0.814516,0.809619
5,0.00298153,0.213537,0.920645,0.197256,0.931452,0.879433,1.000000,0.935849
6,0.00297118,0.139802,0.948074,0.099358,0.917339,0.964126,0.866935,0.912951
7,0.00295855,0.161261,0.939280,0.307505,0.848790,0.902326,0.782258,0.838013
8,0.00294368,0.180285,0.934883,0.143701,0.987903,0.976378,1.000000,0.988048
9,0.00292658,0.166139,0.932998,0.575631,0.669355,0.632911,0.806452,0.709220
10,0.00290729,0.136967,0.943677,0.101566,0.961694,0.963563,0.959677,0.961616
11,0.00288582,0.134939,0.950168,0.274550,0.848790,0.884444,0.802419,0.841438
12,0.00286221,0.134244,0.950796,0.074946,0.991935,0.984127,1.000000,0.992000
13,0.00283651,0.104220,0.960846,0.455570,0.828629,0.843882,0.806452,0.824742
14,0.00280874,0.124048,0.955611,0.081257,0.995968,0.992000,1.000000,0.995984
15,0.00277896,0.122225,0.954355,0.069579,0.991935,0.991935,0.991935,0.991935
16,0.00274720,0.116348,0.955821,0.075792,0.995968,0.992000,1.000000,0.995984
17,0.00271353,0.102520,0.962102,0.282785,0.887097,0.815789,1.000000,0.898551
18,0.00267798,0.127867,0.955611,0.176587,0.935484,0.902985,0.975806,0.937984
19,0.00264061,0.106563,0.959380,0.070241,0.995968,0.992000,1.000000,0.995984
20,0.00260148,0.087827,0.968802,0.137803,0.975806,0.972000,0.979839,0.975904
21,0.00256066,0.091355,0.965243,0.091031,0.979839,0.964844,0.995968,0.980159
22,0.00251820,0.103220,0.965034,0.538851,0.868952,0.921659,0.806452,0.860215
23,0.00247417,0.131045,0.949539,0.044938,0.987903,0.976378,1.000000,0.988048
24,0.00242864,0.090908,0.965662,0.110698,0.985887,0.980080,0.991935,0.985972
25,0.00238168,0.073737,0.974665,0.096763,0.967742,0.991525,0.943548,0.966942
26,0.00233336,0.076397,0.974665,0.066681,0.991935,0.988000,0.995968,0.991968
27,0.00228375,0.068089,0.975503,0.138771,0.917339,0.981395,0.850806,0.911447
28,0.00223293,0.085303,0.971315,0.086085,0.983871,0.991803,0.975806,0.983740
29,0.00218099,0.070050,0.975712,0.212802,0.917339,0.858131,1.000000,0.923650
30,0.00212799,0.083593,0.968593,0.124993,0.957661,0.987124,0.927419,0.956341
31,0.00207403,0.067431,0.976549,0.043053,0.985887,0.972549,1.000000,0.986083
32,0.00201918,0.063466,0.979271,0.065666,0.985887,0.983936,0.987903,0.985915
33,0.00196353,0.075268,0.974665,0.107747,0.959677,0.991379,0.927419,0.958333
34,0.00190716,0.067153,0.976340,0.047909,0.987903,0.976378,1.000000,0.988048
35,0.00185017,0.075356,0.974246,0.069135,0.981855,0.976096,0.987903,0.981964
36,0.00179264,0.072964,0.974037,0.083686,0.991935,0.984127,1.000000,0.992000
37,0.00173465,0.065756,0.977178,0.124070,0.899194,0.980583,0.814516,0.889868
38,0.00167631,0.061914,0.977178,0.039421,0.991935,0.984127,1.000000,0.992000
39,0.00161769,0.067853,0.976131,0.083579,0.961694,0.983122,0.939516,0.960825
40,0.00155889,0.060494,0.979062,0.054165,0.985887,0.972549,1.000000,0.986083
41,0.00150000,0.065046,0.977387,0.056651,0.995968,0.992000,1.000000,0.995984
42,0.00144111,0.073842,0.975712,0.119333,0.955645,0.991304,0.919355,0.953975
43,0.00138231,0.056197,0.980528,0.092559,0.935484,0.982143,0.887097,0.932203
44,0.00132369,0.049140,0.982203,0.021766,0.995968,0.992000,1.000000,0.995984
45,0.00126535,0.053741,0.983668,0.244801,0.897177,0.990050,0.802419,0.886414
46,0.00120736,0.051174,0.982412,0.692631,0.802419,0.987013,0.612903,0.756219
47,0.00114983,0.057213,0.979690,0.039731,0.995968,0.992000,1.000000,0.995984
48,0.00109284,0.058203,0.980318,0.036267,0.991935,0.984127,1.000000,0.992000
49,0.00103647,0.055011,0.981993,0.147652,0.877016,0.979487,0.770161,0.862302
50,0.00098082,0.056095,0.980737,0.034442,0.991935,0.984127,1.000000,0.992000
51,0.00092597,0.049456,0.984296,0.042131,0.991935,0.988000,0.995968,0.991968
52,0.00087201,0.044153,0.984925,0.036662,0.991935,0.984127,1.000000,0.992000
53,0.00081901,0.049993,0.982831,0.079474,0.957661,0.982979,0.931452,0.956522
