epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.303444,0.878350,0.091777,0.967742,0.942748,0.995968,0.968627
2,0.00099961,0.256483,0.900335,1.254514,0.572581,0.764706,0.209677,0.329114
3,0.00099846,0.183279,0.932370,2.667644,0.578629,0.867925,0.185484,0.305648
4,0.00099653,0.191424,0.926298,0.158689,0.893145,0.941176,0.838710,0.886994
5,0.00099384,0.177315,0.937186,0.278012,0.840726,0.865801,0.806452,0.835073
6,0.00099039,0.134610,0.950168,0.143059,0.919355,0.960177,0.875000,0.915612
7,0.00098618,0.130101,0.949749,0.080181,0.981855,0.964981,1.000000,0.982178
8,0.00098123,0.142846,0.949539,0.147728,0.899194,0.990099,0.806452,0.888889
9,0.00097553,0.114983,0.955821,0.107907,0.983871,0.968750,1.000000,0.984127
10,0.00096910,0.112866,0.960218,0.049411,0.995968,0.992000,1.000000,0.995984
11,0.00096194,0.102518,0.961893,0.067926,0.993952,0.988048,1.000000,0.993988
12,0.00095407,0.113915,0.958124,0.097308,0.963710,0.983193,0.943548,0.962963
13,0.00094550,0.098261,0.962312,0.195959,0.893145,0.975610,0.806452,0.883002
14,0.00093625,0.102815,0.965662,9.751624,0.606855,0.895522,0.241935,0.380952
15,0.00092632,0.097688,0.965871,0.296165,0.897177,0.985222,0.806452,0.886918
16,0.00091573,0.095496,0.965034,0.148800,0.899194,0.985294,0.810484,0.889381
17,0.00090451,0.087059,0.968174,0.085984,0.989919,0.980237,1.000000,0.990020
18,0.00089266,0.081091,0.974037,0.106159,0.987903,0.991870,0.983871,0.987854
19,0.00088020,0.088147,0.967546,0.078091,0.987903,0.991870,0.983871,0.987854
20,0.00086716,0.086695,0.971315,0.138197,0.933468,0.882562,1.000000,0.937618
