epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.307567,0.876256,0.638668,0.786290,0.700565,1.000000,0.823920
2,0.00099961,0.218107,0.916667,0.415509,0.810484,0.975309,0.637097,0.770732
3,0.00099846,0.174499,0.931533,0.046126,0.983871,0.968750,1.000000,0.984127
4,0.00099653,0.163081,0.941164,0.124761,0.895161,0.980392,0.806452,0.884956
5,0.00099384,0.170878,0.934673,0.145646,0.973790,0.950192,1.000000,0.974460
6,0.00099039,0.127943,0.953099,0.289071,0.828629,0.843882,0.806452,0.824742
7,0.00098618,0.114694,0.957915,0.147017,0.901210,0.980676,0.818548,0.892308
8,0.00098123,0.129289,0.951005,0.169511,0.933468,0.953586,0.911290,0.931959
9,0.00097553,0.111883,0.958124,0.068345,0.987903,0.976378,1.000000,0.988048
10,0.00096910,0.106430,0.960008,0.091795,0.965726,0.979253,0.951613,0.965235
11,0.00096194,0.105683,0.960427,0.097560,0.959677,0.978992,0.939516,0.958848
12,0.00095407,0.112826,0.962730,0.059996,0.991935,0.984127,1.000000,0.992000
13,0.00094550,0.086611,0.968802,0.068146,0.983871,0.968750,1.000000,0.984127
