epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.307686,0.872278,0.212471,0.935484,0.885714,1.000000,0.939394
2,0.00099961,0.192920,0.926926,0.514382,0.733871,0.704225,0.806452,0.751880
3,0.00099846,0.173295,0.935302,0.258564,0.901210,0.835017,1.000000,0.910092
4,0.00099653,0.143617,0.945142,0.099096,0.969758,0.942966,1.000000,0.970646
5,0.00099384,0.156063,0.943258,0.096693,0.981855,0.964981,1.000000,0.982178
6,0.00099039,0.114870,0.958333,1.360154,0.758065,0.944444,0.548387,0.693878
7,0.00098618,0.106311,0.962940,0.498690,0.820565,0.987730,0.649194,0.783455
8,0.00098123,0.111605,0.960427,1.509191,0.695565,0.953271,0.411290,0.574648
9,0.00097553,0.116235,0.964824,0.221179,0.889113,0.966184,0.806452,0.879121
10,0.00096910,0.109917,0.957286,0.117519,0.969758,0.979424,0.959677,0.969450
11,0.00096194,0.096847,0.965452,0.127723,0.921371,0.981567,0.858871,0.916129
12,0.00095407,0.087385,0.969221,2.378387,0.762097,0.985075,0.532258,0.691099
13,0.00094550,0.130403,0.952471,0.034221,0.995968,0.992000,1.000000,0.995984
14,0.00093625,0.094564,0.966709,0.041633,0.995968,0.992000,1.000000,0.995984
15,0.00092632,0.089752,0.968384,0.091896,0.991935,0.984127,1.000000,0.992000
16,0.00091573,0.086512,0.969430,0.578069,0.723790,0.958678,0.467742,0.628726
17,0.00090451,0.085121,0.970268,0.035164,0.989919,0.980237,1.000000,0.990020
18,0.00089266,0.076161,0.972571,0.058816,0.995968,0.992000,1.000000,0.995984
19,0.00088020,0.078818,0.968802,0.071073,0.993952,0.988048,1.000000,0.993988
20,0.00086716,0.074306,0.973618,0.104992,0.957661,0.974895,0.939516,0.956879
21,0.00085355,0.097103,0.966499,0.249283,0.804435,0.974843,0.625000,0.761671
22,0.00083940,0.075118,0.972362,0.096865,0.989919,0.980237,1.000000,0.990020
23,0.00082472,0.079487,0.974037,0.121170,0.933468,0.982063,0.883065,0.929936
