epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.303352,0.871650,0.115538,0.963710,0.960000,0.967742,0.963855
2,0.00099961,0.218214,0.914154,0.247547,0.901210,0.835017,1.000000,0.910092
3,0.00099846,0.186140,0.929020,0.109982,0.973790,0.950192,1.000000,0.974460
4,0.00099653,0.162112,0.939698,0.056167,0.989919,0.980237,1.000000,0.990020
5,0.00099384,0.145187,0.945561,0.254137,0.943548,0.907407,0.987903,0.945946
6,0.00099039,0.137621,0.949539,0.057545,0.981855,0.964981,1.000000,0.982178
7,0.00098618,0.115759,0.959171,0.098207,0.985887,0.972549,1.000000,0.986083
8,0.00098123,0.108448,0.959799,0.210339,0.846774,0.983146,0.705645,0.821596
9,0.00097553,0.124353,0.954355,0.264395,0.911290,0.849315,1.000000,0.918519
10,0.00096910,0.105939,0.959380,0.191659,0.850806,0.988764,0.709677,0.826291
11,0.00096194,0.124474,0.954983,0.150191,0.895161,0.980392,0.806452,0.884956
12,0.00095407,0.086107,0.967965,0.081132,0.993952,0.988048,1.000000,0.993988
13,0.00094550,0.085357,0.973199,0.123757,0.911290,0.981132,0.838710,0.904348
14,0.00093625,0.090881,0.966918,0.185331,0.893145,0.975610,0.806452,0.883002
