epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.296207,0.879816,0.208491,0.955645,0.918519,1.000000,0.957529
2,0.00099961,0.222146,0.916876,0.176546,0.981855,0.964981,1.000000,0.982178
3,0.00099846,0.160557,0.936977,0.511796,0.669355,0.946809,0.358871,0.520468
4,0.00099653,0.157141,0.940745,0.137737,0.973790,0.950192,1.000000,0.974460
5,0.00099384,0.154959,0.940536,0.078279,0.975806,0.953846,1.000000,0.976378
6,0.00099039,0.112611,0.959590,0.115296,0.983871,0.983871,0.983871,0.983871
7,0.00098618,0.124844,0.958543,0.077922,0.995968,0.992000,1.000000,0.995984
8,0.00098123,0.123731,0.956030,0.286880,0.899194,0.990099,0.806452,0.888889
9,0.00097553,0.125897,0.954355,0.339756,0.840726,0.972067,0.701613,0.814988
10,0.00096910,0.101178,0.961893,0.040834,0.991935,0.984127,1.000000,0.992000
11,0.00096194,0.093030,0.965452,0.165225,0.885081,0.944186,0.818548,0.876890
12,0.00095407,0.098242,0.963568,0.415447,0.792339,0.986577,0.592742,0.740554
13,0.00094550,0.084330,0.969849,0.150870,0.941532,0.895307,1.000000,0.944762
14,0.00093625,0.098391,0.966290,0.127265,0.967742,0.991525,0.943548,0.966942
15,0.00092632,0.079750,0.972781,0.258397,0.893145,0.975610,0.806452,0.883002
16,0.00091573,0.110901,0.961055,0.143760,0.905242,0.980861,0.826613,0.897155
17,0.00090451,0.082529,0.972152,0.139504,0.917339,0.964126,0.866935,0.912951
18,0.00089266,0.076927,0.973827,0.089480,0.989919,0.980237,1.000000,0.990020
19,0.00088020,0.069510,0.974665,0.091959,0.975806,0.991667,0.959677,0.975410
20,0.00086716,0.076727,0.973199,0.118707,0.897177,0.990050,0.802419,0.886414
