epoch,lr,train_loss,train_acc,val_loss,val_acc,val_prec,val_rec,val_f1
1,0.00100000,0.306770,0.879188,0.259175,0.862903,0.909091,0.806452,0.854701
2,0.00099961,0.201272,0.919807,0.359944,0.870968,0.942308,0.790323,0.859649
3,0.00099846,0.161479,0.943467,0.312376,0.824597,1.000000,0.649194,0.787286
4,0.00099653,0.140320,0.946817,0.230482,0.860887,0.904977,0.806452,0.852878
5,0.00099384,0.133084,0.952680,0.079162,0.971774,0.946565,1.000000,0.972549
6,0.00099039,0.114618,0.959171,0.051371,0.985887,0.972549,1.000000,0.986083
7,0.00098618,0.114387,0.961474,0.614819,0.834677,0.956044,0.701613,0.809302
8,0.00098123,0.113393,0.958752,0.272316,0.887097,0.838028,0.959677,0.894737
9,0.00097553,0.098733,0.965871,0.040002,0.985887,0.972549,1.000000,0.986083
10,0.00096910,0.093917,0.965034,0.028939,0.993952,0.988048,1.000000,0.993988
11,0.00096194,0.092381,0.969849,0.112381,0.957661,0.921933,1.000000,0.959381
12,0.00095407,0.097229,0.964615,0.145432,0.939516,0.892086,1.000000,0.942966
13,0.00094550,0.080691,0.971943,0.028947,0.985887,0.972549,1.000000,0.986083
14,0.00093625,0.086130,0.970896,3.150450,0.695565,0.970874,0.403226,0.569801
15,0.00092632,0.081076,0.973409,0.561647,0.897177,0.985222,0.806452,0.886918
16,0.00091573,0.081682,0.970896,0.044075,0.993952,0.988048,1.000000,0.993988
17,0.00090451,0.073862,0.974874,0.172741,0.937500,0.977974,0.895161,0.934737
18,0.00089266,0.075474,0.974456,0.033992,0.985887,0.972549,1.000000,0.986083
19,0.00088020,0.069944,0.975503,0.081982,0.979839,0.961240,1.000000,0.980237
20,0.00086716,0.075608,0.972571,0.071541,0.981855,0.983806,0.979839,0.981818
